rank,university,city
1059,Stevenson University,Stevenson ...
985,Southeastern Oklahoma State University,Durant
1064,Concordia University Texas,Austin
1083,Rosalind Franklin University of Medicine and Science,North Chicago
1014,Southern California Institute of Architecture,Los Angeles
1050,Palm Beach Atlantic University,West Palm Beach ...
998,Chadron State College,Chadron
1047,Unity College,Unity
1022,Mitchell Hamline School of Law,Saint Paul
1015,Southern Arkansas University,Magnolia
856,York College of Pennsylvania,York
1066,Sterling College,Sterling
1007,Geneva College,Beaver Falls
995,Alfred State College,Alfred
1120,University of Mary Hardin-Baylor,Belton
1012,Notre Dame of Maryland University,Baltimore
1008,Morrisville State College,Morrisville
1033,Heidelberg University,Tiffin
1006,United States Coast Guard Academy,New London
1029,Columbus College of Art and Design,Columbus
1031,Presbyterian College,Clinton
1045,Millsaps College,Jackson
1001,Daytona State College,Daytona Beach
994,Roberts Wesleyan College,Rochester
961,University of Houston-Victoria,Victoria
1032,Francis Marion University,Florence
1028,Wheeling University,Wheeling
1016,Loras College,Dubuque
1026,Saint Francis University,Loretto
1168,"Queens College, City University of New York",New York City
987,Evangel University,Springfield
1052,Saint Peter's University,Jersey City
1049,SUNY College at Old Westbury,Old Westbury
1017,Worcester State University,Worcester
1034,Walla Walla University,College Place
1090,Meharry Medical College,Nashville
1204,Missouri Southern State University,Joplin
1124,Central Methodist University,Fayette
1053,Ouachita Baptist University,Arkadelphia
1030,Ferrum College,Ferrum
1042,Marywood University,Scranton
1041,Southwestern College,Winfield
1036,Dillard University,New Orleans
1093,California State University Maritime Academy,Vallejo
973,Cornerstone University,Grand Rapids
1131,SUNY Maritime College,Throggs Neck
1027,Tougaloo College,Tougaloo ...
1038,Birmingham-Southern College,Birmingham
1196,Clarkson University,Potsdam ...
1085,Ottawa University,Ottawa ...
1068,University of South Carolina-Aiken,Aiken
1077,Graceland University,Lamoni
1037,Massachusetts College of Liberal Arts,North Adams
1043,Bard College at Simon's Rock,Great Barrington
1025,Marlboro College,Marlboro
1091,Prescott College,Prescott
1139,Mayo Clinic College of Medicine and Science,Rochester
1044,Delaware Valley University,Doylestown
1205,Northwest University,Kirkland ...
1081,Cedar Crest College,Allentown
1092,Northwestern College,Orange City
1104,University of Mount Union,Alliance
1164,Post University,Waterbury
1071,Greenville University,Greenville
1097,Upper Iowa University,Fayette ...
1183,American International College,Springfield
1054,Black Hills State University,Spearfish
1056,A.T. Still University,Kirksville ...
1055,Missouri Western State University,St. Joseph
1013,New Mexico Highlands University,Las Vegas
1061,Wayne State College,Wayne
1060,Transylvania University,Lexington
1084,Clarke University,Dubuque
1072,East Central University,Ada
1070,Savannah State University,Savannah
1035,Hardin-Simmons University,Abilene
1040,Faulkner University,Montgomery
1125,Adrian College,Adrian
1057,University of Montevallo,Montevallo
1074,Southwestern Adventist University,Keene
968,South Texas College of Law,Houston
1147,Maryville College,Maryville
1211,Thomas Edison State University,Trenton
1075,National American University,Rapid City ...
1121,Randolph-Macon College,Ashland
1101,Rivier University,Nashua
1048,Cleveland Institute of Art,Cleveland
1067,Fielding Graduate University,Santa Barbara
1113,Soka University of America,Aliso Viejo
1175,Wisconsin Lutheran College,Milwaukee
1078,Mississippi University for Women,Columbus
1099,Maine College of Art,Portland
1065,William Carey University,Hattiesburg ...
1073,Goddard College,Plainfield ...
1095,Rockhurst University,Kansas City
1089,MidAmerica Nazarene University,Olathe
1111,University of North Texas Health Science Center,Fort Worth
1094,Elmira College,Elmira
1105,Our Lady of the Lake University,San Antonio
1208,Illinois College,Jacksonville
1087,Shorter University,Rome ...
1160,Harrisburg University of Science and Technology,Harrisburg
1132,Lasell University,Newton
1285,University of Central Oklahoma,Edmond
1122,Minot State University,Minot
1135,Mount Saint Mary College,Newburgh
1102,Woodbury University,Burbank ...
1088,Cardinal Stritch University,Milwaukee
1223,"York College, City University of New York",Jamaica
1100,University of the Cumberlands,Williamsburg
1115,Stephens College,Columbia
1197,Talladega College,Talladega
1146,Georgian Court University,Lakewood
1119,Des Moines University,Des Moines
1114,University of Northwestern - St. Paul,Saint Paul ...
1107,Northland College,Ashland
1167,Lourdes University,Sylvania
1112,"Lincoln University, Missouri",Jefferson City
1079,Immaculata University,Immaculata ...
1118,Oklahoma Wesleyan University,Bartlesville
1176,Bryant and Stratton College,Buffalo ...
983,La Sierra University,Riverside
1080,Marian University,Indianapolis
1123,Texas Wesleyan University,Fort Worth
1149,The Master's University,Santa Clarita
1177,Caldwell University,Caldwell
1367,Cazenovia College,Cazenovia
1189,Logan University,Chesterfield
1143,Nebraska Wesleyan University,Lincoln ...
1106,Mansfield University of Pennsylvania,Mansfield
1313,St. Francis College,Brooklyn Heights
1150,Malone University,Canton
1116,San Francisco Conservatory of Music,San Francisco
1142,Johnson C. Smith University,Charlotte
1169,Athens State University,Athens
1140,Carlow University,Pittsburgh
1133,Lyon College,Batesville
1186,Bay Path University,Longmeadow
1157,Nichols College,Dudley
1082,Fairmont State University,Fairmont
1273,Houghton College,Houghton ...
1130,Pfeiffer University,Misenheimer
1138,Felician University,Lodi ...
1159,Oklahoma Baptist University,Shawnee
999,The University of West Alabama,Livingston
1096,"Concordia University, Nebraska",Seward
1126,Benedictine College,Atchison
1250,"New York City College of Technology, CUNY",Brooklyn
1137,Neumann University,Aston
1173,Charles R. Drew University of Medicine and Science,Los Angeles
1109,Fitchburg State University,Fitchburg
1155,Salem College,Winston-Salem
1162,Mount Aloysius College,Cresson
1141,Trinity Washington University,Washington
1144,Bethel College,North Newton
1145,Northern Vermont University,Johnson ...
1153,Coppin State University,Baltimore
1222,Tiffin University,Tiffin ...
1134,College of Central Florida,Ocala
1086,Converse College,Spartanburg
1170,Fort Valley State University,Fort Valley
1103,Viterbo University,La Crosse
1180,Cornish College of the Arts,Seattle
1199,University of Charleston,Charleston
1158,Huntingdon College,Montgomery
1117,Vanguard University of Southern California,Costa Mesa ...
1136,Middle Georgia State University,Macon
1128,Shawnee State University,Portsmouth
1110,Ave Maria University,Ave Maria
1151,Brevard College,Brevard
1233,Dalton State College,Dalton
1298,West Coast University-Los Angeles,North Hollywood
1174,National University of Health Sciences,Lombard ...
1154,Colby-Sawyer College,New London
1163,Rocky Mountain College,Billings
1348,College of Mount Saint Vincent,The Bronx
1248,St. Joseph's College,Brooklyn ...
1161,Bethel University,Mishawaka
1185,Thomas Aquinas College,Santa Paula
1198,Cabrini University,Radnor
1179,Georgia Southwestern State University,Americus
1058,Avila University,Kansas City
1010,Wilson College,Chambersburg
1156,Friends University,Wichita ...
1178,Rochester University,Rochester Hills
1264,Indiana Institute of Technology,Fort Wayne ...
1098,Emory & Henry College,Emory ...
1255,Briar Cliff University,Sioux City
1343,Northeast Ohio Medical University,Rootstown
1076,South Texas College,McAllen
1195,Belmont Abbey College,Belmont
1202,Virginia Wesleyan University,Virginia Beach
1254,Judson University,Elgin ...
1209,Bloomfield College,Bloomfield
1210,SUNY Cobleskill,Cobleskill
1166,SUNY Canton,Canton
1187,Bryan College,Dayton ...
1244,Samuel Merritt University,Oakland
1445,Voorhees College,Denmark
1206,Huntington University,Huntington ...
1227,Wayland Baptist University,Plainview ...
1218,New England Law | Boston,Boston
1148,Lees-McRae College,Banner Elk
1234,Madonna University,Livonia ...
1184,Notre Dame College,Cleveland
1213,West Virginia State University,Institute
1190,Lindsey Wilson College,Columbia
1216,Lakeland University,Plymouth
1165,Columbia International University,Columbia
1220,William Jewell College,Liberty
1194,Central State University,Wilberforce
1188,Asbury University,Wilmore
1217,Medaille College,Buffalo
1181,Sullivan University,Louisville ...
1231,Adler University,Chicago ...
1207,Trine University,Angola
1182,LIM College,New York City
1200,Albany State University,Albany
1212,Kansas City Art Institute,Kansas City
1214,SUNY Delhi,Delhi
1225,Carolina University,Winston Salem ...
1221,Benedict College,Columbia
1236,The Institute of World Politics,Washington
1203,Becker College,Worcester ...
1224,Thomas More University,Crestview Hills
1268,Wesley College,Dover
1129,Concordia University Chicago,River Forest
1433,University of Arkansas - Fort Smith,Fort Smith
